"id","name","category_code","disease_code","created_at","updated_at"
"114","A183 - Tuberculosis de los Intestinos, el Peritoneo y los Ganglios Mesentericos","A18","3",,
"115","A1831 - Tuberculosis de los Intestinos,El Peritoneo y Ganglios Mesentericos,Sin Cofirm.Bacterio.","A18","31",,
"116","A1832 - Tuberculosis de los Intestinos,El Peritoneo y Ganglios Mesentericos Confirmado con Histo","A18","32",,
"117","A1833 - Tuberculosis de los Intestinos,El Peritoneo y Ganglios Mesentericos,Confirmado con Bacte","A18","33",,
"118","A184 - Tuberculosis de la Piel y el Tejido Subcutaneo","A18","4",,
"119","A1841 - Tuberculosis de la Piel y el Tejido Subcutaneo,Sin Confirmacion Bacteriologica e Histopa","A18","41",,
"120","A1842 - Tuberculosis de la Piel y el Tejido Subcutaneo, Confirmado con Histopatologia","A18","42",,
"121","A1843 - Tuberculosis de la Piel y el Tejido Subcutaneo, Confirmado con Bacteriologia","A18","43",,
"122","A185 - Tuberculosis del Ojo","A18","5",,
"123","A1851 - Tuberculosis del Ojo, sin Confirmacion Bacteriologica e Histopatologica","A18","51",,
"124","A1852 - Tuberculosis del Ojo, Confirmado con Histopatologia","A18","52",,
"125","A1853 - Tuberculosis del Ojo, Confirmaco con Bacteriolog°a","A18","53",,
"126","A186 - Tuberculosis del Oido","A18","6",,
"127","A1861 - Tuberculosis del Oido, sin Confirmacion Bacteriologica e Histopatologica","A18","61",,
"128","A1862 - Tuberculosis del Oido, Confirmado con Histopatologia","A18","62",,
"129","A1863 - Tuberculosis del Oido, Confirmado con Bacteriologia","A18","63",,
"130","A187 - Tuberculosis de Glandulas Suprarrenales (E35.1*)","A18","7",,
"131","A1871 - Tuberculosis de Glandulas Suprarrenales,Sin Confirmacion Bacteriologica e Histopatologic","A18","71",,
"132","A1872 - Tuberculosis de Glandulas Suprarrenales, Confirmado con Bacteriologia","A18","72",,
"133","A1873 - Tuberculosis de Glandulas Suprarrenales, Confirmado con Bacteriologia","A18","73",,
"134","A188 - Tuberculosis de otros Organos Especificados","A18","8",,
"135","A1881 - Tuberculosis de otros Organos Especificados, sin Confirmacion Bacteriologica e Histopato","A18","81",,
"136","A1882 - Tuberculosis de otros Organos Especificados,  Confirmado con Histopatologia","A18","82",,
"137","A1883 - Tuberculosis de otros Organos Especificados, Confirmado con Bacteriologia","A18","83",,
"138","A1891 - TB Extrapulmonar sin Confirmacion","A18","91",,
"139","A1892 - TB Extrapulmonar con Confirmacion Histopatologica","A18","92",,
"140","A1893 - TB Extrapulmonar con Confirmacion Bacteriologica","A18","93",,
"141","A190 - Tuberculosis Miliar Aguda de un Solo Sitio Especificado","A19","0",,
"142","A191 - Tuberculosis Miliar Aguda de Sitios Multiples","A19","1",,
"143","A192 - Tuberculosis Miliar Aguda, no Especificada","A19","2",,
"144","A198 - Otras Tuberculosis Miliares","A19","8",,
"145","A199 - Tuberculosis Miliar, sin otra Especificacion","A19","9",,
"146","A200 - Peste Bubonica","A20","0",,
"147","A201 - Peste Celulocutanea","A20","1",,
"148","A202 - Peste Mumonica","A20","2",,
"149","A203 - Meningitis por Peste","A20","3",,
"150","A207 - Peste Septicemica","A20","7",,
"151","A208 - Otras Formas de Peste","A20","8",,
"152","A209 - Peste no Especificada","A20","9",,
"153","A210 - Tularemia Ulceroglandular","A21","0",,
"154","A211 - Tularemia Oculoglandular","A21","1",,
"155","A212 - Tularemia Pulmonar","A21","2",,
"156","A213 - Tularemia Gastrointestinal","A21","3",,
"157","A217 - Tularemia Generalizada","A21","7",,
"158","A218 - Otras Formas de Tularemia","A21","8",,
"159","A219 - Tularemia, no Especificada","A21","9",,
"160","A220 - Carbunco Cutaneo","A22","0",,
"161","A221 - Carbunco Pulmonar","A22","1",,
"162","A222 - Carbunco Gastrointestinal","A22","2",,
"163","A227 - Carbunco Septicemico","A22","7",,
"164","A228 - Otras Formas de Carbunco","A22","8",,
"165","A229 - Carbunco, no Especificado","A22","9",,
"166","A230 - Brucelosis debida a Brucella Melitensis","A23","0",,
"167","A231 - Brucelosis debida a Brucella Abortus","A23","1",,
"168","A232 - Brucelosis debida a Brucella Suis","A23","2",,
"169","A233 - Brucelosis debida a Brucella Canis","A23","3",,
"170","A238 - Otras Brucelosis","A23","8",,
"171","A239 - Brucelosis no Especificada","A23","9",,
"172","A240 - Muermo","A24","0",,
"173","A241 - Melioidosis Aguda y Fulminante","A24","1",,
"174","A242 - Melioidosis Subaguda y Cronica","A24","2",,
"175","A243 - Otras Melioidosis","A24","3",,
"176","A244 - Melioidosis, no Especificada","A24","4",,
"177","A250 - Espirilosis","A25","0",,
"178","A251 - Estreptobacilosis","A25","1",,
"179","A259 - Fiebre por Mordedura de Rata, no Especificada","A25","9",,
"180","A260 - Erisipeloide Cutaneo","A26","0",,
"181","A267 - Septicemia por Erysipelothrix","A26","7",,
"182","A268 - Otras Formas de Erisipeloide","A26","8",,
"183","A269 - Erisipeloide, no Especificada","A26","9",,
"184","A270 - Leptospirosis Icterohemorragica","A27","0",,
"185","A278 - Otras Formas de Leptospirosis","A27","8",,
"186","A279 - Leptospirosis no Especificada","A27","9",,
"187","A280 - Pasteurelosis","A28","0",,
"188","A281 - Enfermedad por Rasguno de Gato","A28","1",,
"189","A282 - Yersiniosis Extraintestinal","A28","2",,
"190","A288 - Otras Enfermedades Zoonoticas Bacterianas Especificadas, no Clasificadas en otra parte","A28","8",,
"191","A289 - Enfermedad Zoonotica Bacteriana, sin otra Especificacion","A28","9",,
"192","A300 - Lepra Indeterminada","A30","0",,
"193","A301 - Lepra Tuberculoide","A30","1",,
"194","A302 - Lepra Tuberculoide Limitrofe","A30","2",,
"195","A303 - Lepra Limitrofe","A30","3",,
"196","A304 - Lepra Lepromatosa Limitrofe","A30","4",,
"197","A305 - Lepra Lepromatosa","A30","5",,
"198","A308 - Otras Formas de Lepra","A30","8",,
"199","A309 - Lepra, no Especificada","A30","9",,
"200","A310 - Infecciones por Micobacterias Pulmonares","A31","0",,
"201","A311 - Infeccion Cutanea por Micobacterias","A31","1",,
"202","A318 - Otras Infecciones por Micobacterias","A31","8",,
"203","A319 - Infeccion por Micobacteria, no Especificada","A31","9",,
"204","A320 - Listeriosis Cutanea","A32","0",,
"205","A321 - Meningitis y Meningoencefalitis Listeriana","A32","1",,
"206","A327 - Septicemia Listeriana","A32","7",,
"207","A328 - Otras Formas de Listeriosis","A32","8",,
"208","A329 - Listeriosis, no Especificada","A32","9",,
"209","A33X - Tetanos Neonatal","A33","X",,
"210","A34X - Tetanos Obstetrico","A34","X",,
"211","A35X - Otros Tetanos","A35","X",,
"212","A360 - Difteria Faringea","A36","0",,
"213","A361 - Difteria Nasofaringea","A36","1",,
"214","A362 - Difteria Laringea","A36","2",,
"215","A363 - Difteria Cutanea","A36","3",,
"216","A368 - Otras Difterias","A36","8",,
"217","A369 - Difteria, no Especificada","A36","9",,
"218","A370 - Tos Ferina debida a Bordetella Pertussis","A37","0",,
"219","A371 - Tos Ferina debida a Bordetella Parapertussis","A37","1",,
"220","A378 - Tos Ferina debida a otras Especies de Bordetella","A37","8",,
"221","A379 - Tos Ferina, no Especificada","A37","9",,
"222","A38X - Escarlatina","A38","X",,
"223","A390 - Meningitis Meningococica (G01*)","A39","0",,
"224","A391 - Sindrome de Waterhouse-Friderichsen (E35.1*)","A39","1",,
"225","A392 - Meningococemia Aguda","A39","2",,
"226","A393 - Meningococemia Cronica","A39","3",,
"227","A394 - Meningococemia, no Especificada","A39","4",,
"228","A395 - Enfermedad Cardiaca debida a Meningococo","A39","5",,
"229","A398 - Otras formas de enfermedad Meningocócica","A39","8",,
"230","A399 - Enfermedad meningocócica, no Especificada","A39","9",,
"231","A400 - Septicemia debida a Estreptococo, Grupo A","A40","0",,
"232","A401 - Septicemia debida a Estreptococo, Grupo B","A40","1",,
"233","A402 - Septicemia debida a Estreptococo, Grupo D","A40","2",,
"234","A403 - Septicemia debida a Streptococcus Pneumoniae","A40","3",,
"235","A408 - Otras Septicemias Estreptococicas","A40","8",,
"236","A409 - Septicemia Estreptococica, no Especificada","A40","9",,
"237","A410 - Septicemia debida a Staphylococcus Aureus","A41","0",,
"238","A411 - Septicemia debida a Otro Estafilococo Especificado","A41","1",,
"239","A412 - Septicemia debida a Estafilococo no Especificado","A41","2",,
"240","A413 - Septicemia debida a Haemophilus Influenzae","A41","3",,
"241","A414 - Septicemia debida a Anaerobios","A41","4",,
"242","A415 - Septicemia debida a otros Organismos Gramnegativos","A41","5",,
"243","A418 - Otras Septicemias Especificadas","A41","8",,
"244","A419 - Septicemia, no Especificada","A41","9",,
"245","A420 - Actinomicosis Pulmonar","A42","0",,
"246","A421 - Actinomicosis Abdominal","A42","1",,
"247","A422 - Actinomicosis Cervicofacial","A42","2",,
"248","A427 - Septicemia Actinomicotica","A42","7",,
"249","A428 - Otras Formas de Actinomicosis","A42","8",,
"250","A429 - Actinomicosis, sin otra Especificacion","A42","9",,
"251","A430 - Nocardiosis Pulmonar","A43","0",,
"252","A431 - Nocardiosis Cutanea","A43","1",,
"253","A438 - Otras Formas de Nocardiosis","A43","8",,
"254","A439 - Nocardiosis, no Especificada","A43","9",,
"255","A440 - Bartonelosis Sistemica (Fiebre de la Oroya)","A44","0",,
"256","A441 - Bartonelosis Cronica","A44","1",,
"257","A448 - Otras Formas de Bartonelosis","A44","8",,
"258","A4481 - Bartonelosis Aguda","A44","81",,
"259","A4482 - Bartonelosis Aguda Complicada","A44","82",,
"260","A4483 - Bartonelosis Resistente","A44","83",,
"261","A449 - Bartonelosis no Especificada","A44","9",,
"262","A46X - Erisipela","A46","X",,
"263","A480 - Gangrena Gaseosa","A48","0",,
"264","A481 - Enfermedad de los Legionarios","A48","1",,
"265","A482 - Enfermedad de los Legionarios no Neumonica [Fiebre de Pontiac]","A48","2",,
"266","A483 - Sindrome del Choque Toxico","A48","3",,
"267","A484 - Fiebre Purpurica Brasilena","A48","4",,
"268","A488 - Otras Enfermedades Bacterianas Especificadas","A48","8",,
"269","A490 - Infeccion Estafilococica, sin otra Especificacion","A49","0",,
"270","A491 - Infeccion Estreptococica, sin otra Especificacion","A49","1",,
"271","A492 - Infeccion por Haemophilus Influenzae, sin otra Especificacion","A49","2",,
"272","A493 - Infeccion por Micoplasma, sin otra Especificacion","A49","3",,
"273","A498 - Otras Infecciones Bacterianas de Sitio no Especificado","A49","8",,
"274","A499 - Infeccion Bacteriana, no Especificada","A49","9",,
"275","A500 - Sifilis Congenita Precoz, Sintomatica","A50","0",,
"276","A501 - Sifilis Congenita Precoz, Latente","A50","1",,
"277","A502 - Sifilis Congenita Precoz, sin otra Especificacion","A50","2",,
"278","A503 - Oculopatia Sifilitica Congenita Tardia","A50","3",,
"279","A504 - Neurosifilis Congenita Tardia [Neurosifilis Juvenil]","A50","4",,
"280","A505 - Otras Formas de Sifilis Congenita Tardia, Sintomatica","A50","5",,
"281","A506 - Sifilis Congenita Tardia, Latente","A50","6",,
"282","A507 - Sifilis Congenita Tardia, sin otra Especificacion","A50","7",,
"283","A509 - Sifilis Congenita","A50","9",,
"284","A510 - Sifilis Primaria","A51","0",,
"285","A511 - Sifilis Primaria Anal","A51","1",,
"286","A512 - Sifilis Primaria en otros Sitios","A51","2",,
"287","A513 - Sifilis Secundaria de Piel y Membranas Mucosas","A51","3",,
"288","A514 - Otras Sifilis Secundarias","A51","4",,
"289","A515 - Sifilis Latente","A51","5",,
"290","A519 - Sifilis Precoz, sin otra Especificacion","A51","9",,
"291","A520 - Sifilis Cardiovascular","A52","0",,
"292","A521 - Neurosifilis Sintomatica","A52","1",,
"293","A522 - Neurosifilis Asintomatica","A52","2",,
"294","A523 - Neurosifilis no Especificada","A52","3",,
"295","A527 - Otras Sifilis Tardias Sintomaticas","A52","7",,
"296","A528 - Sifilis Tardia, Latente","A52","8",,
"297","A529 - Sifilis Tardia, no Especificada","A52","9",,
"298","A530 - Sifilis Latente, no Especificada como Precoz o Tardia","A53","0",,
"299","A539 - Sifilis no Especificada","A53","9",,
"300","A540 - Infeccion Gonococica del Tracto Genitourinario Inferior sin Absceso Periuretral o de Gla","A54","0",,
"301","A541 - Infeccion Gonococica del Tracto Genitourinario Inferior con Absceso Periuretral y de Gla","A54","1",,
"302","A542 - Pelviperitonitis Gonococica y otras Infecciones Gonococicas Genitourinarias","A54","2",,
"303","A543 - Infeccion Gonococica del Ojo","A54","3",,
"304","A544 - Infeccion Gonococica del Sistema Osteomuscular","A54","4",,
"305","A545 - Faringitis Gonococica","A54","5",,
"306","A546 - Infeccion Gonococica del Ano y del Recto","A54","6",,
"307","A548 - Otras Infecciones Gonococicas","A54","8",,
"308","A549 - Gonorrea","A54","9",,
"309","A55X - Linfogranuloma Venereo","A55","X",,
"310","A560 - Infeccion del Tracto Genitourinario Inferior debida a Clamidias","A56","0",,
"311","A561 - Infeccion del Pelviperitoneo y otros Organos Genitourinarios debida a Clamidias","A56","1",,
"312","A562 - Clamidiasis","A56","2",,
"313","A563 - Infeccion del Ano y del Recto debida a Clamidias","A56","3",,
"314","A564 - Infeccion de Faringe debida a Clamidias","A56","4",,
"315","A568 - Infeccion de Transmision Sexual de otros Sitios debida a Clamidias","A56","8",,
"316","A57X - Chancro Blando","A57","X",,
"317","A58X - Granuloma Inguinal","A58","X",,
"318","A590 - Tricomoniasis Urogenital","A59","0",,
"319","A598 - Tricomoniasis de otros Sitios","A59","8",,
"320","A599 - Trichomoniasis","A59","9",,
"321","A600 - Herpes Genital","A60","0",,
"322","A601 - Infeccion de la Piel Perianal y Recto por Virus del Herpes Simple","A60","1",,
"323","A609 - Infeccion Anogenital por Virus del Herpes Simple, sin otra Especificacion","A60","9",,
"324","A630 - Verrugas (venereas) anogenitales","A63","0",,
"325","A638 - Otras Enfermedades de Transmision Predominantemente Sexual, Especificadas","A63","8",,
"326","A64X - Enfermedad de Transmision Sexual no Especificada","A64","X",,
"327","A64X1 - Sindrome de Bubon Inguinal","A64","X1",,
"328","A64X2 - Sindrome de Cervicitis","A64","X2",,
"329","A64X3 - Sindrome de Vaginitis","A64","X3",,
"330","A64X4 - Sindrome de Ulcera Genital","A64","X4",,
"331","A64X5 - Sindrome de Dolor Abdominal Bajo","A64","X5",,
"332","A64X6 - Sindrome de Secrecion Uretral","A64","X6",,
"333","A64X9 - Sindrome de Flujo Vaginal","A64","X9",,
"334","A65X - Sifilis no Venerea","A65","X",,
"335","A660 - Lesiones Iniciales de Frambesia","A66","0",,
"336","A661 - Lesiones Papilomatosas Multiples y Frambesia con Paso de Cangrejo","A66","1",,
"337","A662 - Otras Lesiones Precoces de la Piel en la Frambesia","A66","2",,
"338","A663 - Hiperqueratosis de Frambesia","A66","3",,
"339","A664 - Goma y Ulceras de Frambesia","A66","4",,
"340","A665 - Gangosa","A66","5",,
"341","A666 - Lesiones Frambesicas de los Huesos y de las Articulaciones","A66","6",,
"342","A667 - Otras Manifestaciones de Frambesia","A66","7",,
"343","A668 - Frambesia Latente","A66","8",,
"344","A669 - Frambesia, no Especificada","A66","9",,
"345","A670 - Lesiones Primarias de la Pinta","A67","0",,
"346","A671 - Lesiones Intermedias de la Pinta","A67","1",,
"347","A672 - Lesiones Tardias de la Pinta","A67","2",,
"348","A673 - Lesiones Mixtas de la Pinta","A67","3",,
"349","A679 - Pinta, no Especificada","A67","9",,
"350","A680 - Fiebre Recurrente Transmitida por Piojos","A68","0",,
"351","A681 - Fiebre Recurrente Transmitida por Garrapatas","A68","1",,
"352","A689 - Fiebre Recurrente, no Especificada","A68","9",,
"353","A690 - Estomatitis Ulcerativa Necrotizante","A69","0",,
"354","A691 - Otras Infecciones de Vincent (Gingivitis de Vincent. Gingivitis y Gingivoestomatitis Ulc","A69","1",,
"355","A6910 - Gingivitis Ulcerativa Necrotizante Aguda [Gingivitis Fusoespiroquetica][Gingivitis de Vi","A69","10",,
"356","A6911 - Angina de Vincent","A69","11",,
"357","A692 - Enfermedad de Lyme","A69","2",,
"358","A698 - Otras Infecciones Especificadas por Espiroquetas","A69","8",,
"359","A699 - Infeccion por Espiroqueta, no Especificada","A69","9",,
"360","A70X - Infeccion debida a Chlamydia Psittaci","A70","X",,
"361","A710 - Estado Inicial de Tracoma","A71","0",,
"362","A711 - Estado Activo de Tracoma","A71","1",,
"363","A719 - Tracoma, no Especificado","A71","9",,
"364","A740 - Conjuntivitis por Clamidias (H13.1*)","A74","0",,
"365","A748 - Otras Enfermedades por Clamidias","A74","8",,
"366","A749 - Infeccion por Clamidias, no Especificada","A74","9",,
"367","A750 - Tifus Epidemico debido a Rickettsia Prowazekii Transmitido por Piojos","A75","0",,
"368","A751 - Tifus Recrudescente [Enfermedad de Brill]","A75","1",,
"369","A752 - Tifus debido a Rickettsia Typhi","A75","2",,
"370","A753 - Tifus debido a Rickettsia Tsutsugamushi","A75","3",,
"371","A759 - Tifus, no Especificado","A75","9",,
"372","A770 - Fiebre Maculosa debida a Rickettsia Rickettsii","A77","0",,
"373","A771 - Fiebre Maculosa debida a Rickettsia Conorii","A77","1",,
"374","A772 - Fiebre Maculosa debida a Rickettsia Siberica","A77","2",,
"375","A773 - Fiebre Maculosa debida a Rickettsia Australis","A77","3",,
"376","A778 - Otras Fiebres Maculosas","A77","8",,
"377","A779 - Fiebre Maculosa, no Especificada","A77","9",,
"378","A78X - Fiebre Q","A78","X",,
"379","A790 - Fiebre de las Trincheras","A79","0",,
"380","A791 - Rickettsiosis Pustulosa debida a Rickettsia Akari","A79","1",,
"381","A798 - Otras Rickettsiosis Especificadas","A79","8",,
"382","A799 - Rickettsiosis, no Especificada","A79","9",,
"383","A800 - Poliomielitis Aguda Paralitica, Asociada a Vacuna","A80","0",,
"384","A801 - Poliomielitis Aguda Paralitica debida a Virus Salvaje Importado","A80","1",,
"385","A802 - Poliomielitis Aguda Paralitica debida a Virus Salvaje Autoctono","A80","2",,
"386","A803 - Otras Poliomielitis Agudas Paraliticas, y las no Especificadas","A80","3",,
"387","A804 - Poliomielitis Aguda no Paralitica","A80","4",,
"388","A809 - Poliomielitis Aguda, sin otra Especificacion","A80","9",,
"389","A810 - Enfermedad de Creutzfeldt - Jakob","A81","0",,
"390","A811 - Panencefalitis Esclerosante Subaguda","A81","1",,
"391","A812 - Leucoencefalopatia Multifocal Progresiva","A81","2",,
"392","A818 - Otras Infecciones del Sistema Nervioso Central por Virus Lento","A81","8",,
"393","A819 - Infecciones del Sistema Nervioso Central por Virus Lento, sin otra Especificacion","A81","9",,
"394","A820 - Rabia Selvatica (Rabia Humana Silvestre)","A82","0",,
"395","A821 - Rabia Humana Urbana","A82","1",,
"396","A829 - Rabia, sin otra Especificacion","A82","9",,
"397","A830 - Encefalitis Japonesa","A83","0",,
"398","A831 - Encefalitis Equina del Oeste","A83","1",,
"399","A832 - Encefalitis Equina del Este","A83","2",,
"400","A833 - Encefalitis de San Luis","A83","3",,
"401","A834 - Encefalitis Australiana","A83","4",,
"402","A835 - Encefalitis de California","A83","5",,
"403","A836 - Enfermedad por Virus Rocio","A83","6",,
"404","A838 - Otras Encefalitis Virales Transmitidas por Mosquitos","A83","8",,
"405","A839 - Encefalitis Viral Transmitida por Mosquitos, sin otra Especificacion","A83","9",,
